add	E145
analytics	EF3E
arrow_back	E5C4
article	EF42
audiotrack	E3A1
autorenew	E863
book	E865
cast	E307
check	E5CA
closed_caption	E01C
dashboard	E871
delete	E872
devices	E1B1
dvr	E1B2
edit	E3C9
expand_less	E5CE
expand_more	E5CF
explore	E87A
extension	E87B
fast_forward	E01F
fast_rewind	E020
favorite	E87D
favorite_border	E87E
filter_alt	EF4F
folder	E2C7
folder_open	E2C8
fullscreen	E5D0
fullscreen_exit	E5D1
groups	F233
home	E88A
keyboard	E312
keyboard_arrow_down	E313
keyboard_arrow_up	E316
lan	EB2F
library_add	E02E
live_tv	E639
movie	E02C
music_note	E405
music_video	E063
palette	E40A
pause	E034
people	E7FB
perm_media	E8A7
person	E7FD
phonelink_lock	E0DC
photo	E410
play_arrow	E037
play_circle	E1C4
play_circle_filled	E038
queue	E03C
quiz	F04C
repeat	E040
repeat_one	E041
replay	E042
schedule	E8B5
search	E8B6
settings	E8B8
shuffle	E043
skip_next	E044
skip_previous	E045
sort_by_alpha	E053
stop	E047
storage	E1DB
theaters	E8DA
tv	E333
video_library	E04A
volume_off	E04F
volume_up	E050
vpn_key	E0DA
