kind	width	height	shape	orientation	percent	across	requested	fill	layout	root	letter_jump	dialog
width	383	294	portrait	landscape	33.333333	3	3.00000000030	128	mobile	90	hidden	fullscreen
width	383	294	backdrop	landscape	100	1	1.00000000000	383	mobile	90	hidden	fullscreen
width	383	294	smallBackdrop	landscape	50	2	2.00000000000	192	mobile	90	hidden	fullscreen
width	383	294	square	landscape	50	2	2.00000000000	192	mobile	90	hidden	fullscreen
width	383	294	banner	landscape	100	1	1.00000000000	383	mobile	90	hidden	fullscreen
width	383	294	mixedPortrait	landscape	48.305668	2	4.00000000000	96	mobile	90	hidden	fullscreen
width	383	294	mixedSquare	landscape	72.458501	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	383	294	mixedBackdrop	landscape	128.815113	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	383	294	portrait	landscape	33.333333	3	3.00000000030	128	desktop	93	hidden	fullscreen
width	383	294	backdrop	landscape	100	1	1.00000000000	383	desktop	93	hidden	fullscreen
width	383	294	smallBackdrop	landscape	50	2	2.00000000000	192	desktop	93	hidden	fullscreen
width	383	294	square	landscape	50	2	2.00000000000	192	desktop	93	hidden	fullscreen
width	383	294	banner	landscape	100	1	1.00000000000	383	desktop	93	hidden	fullscreen
width	383	294	mixedPortrait	landscape	49.915856	2	4.00000000000	96	desktop	93	hidden	fullscreen
width	383	294	mixedSquare	landscape	74.873785	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	383	294	mixedBackdrop	landscape	133.108951	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	383	294	portrait	landscape	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	383	294	backdrop	landscape	25	4	4.00000000000	96	tv	125	hidden	fullscreen
width	383	294	smallBackdrop	landscape	50	2	2.00000000000	192	tv	125	hidden	fullscreen
width	383	294	square	landscape	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	383	294	banner	landscape	100	1	1.00000000000	383	tv	125	hidden	fullscreen
width	383	294	mixedPortrait	landscape	67.091205	1	4.00000000000	96	tv	125	hidden	fullscreen
width	383	294	mixedSquare	landscape	100.636807	1	4.00000000000	96	tv	125	hidden	fullscreen
