page	construct	role	key
addserver	skin-header	silent	silent
addserver	header-back-button	navigation	silent
addserver	header-home-button	navigation	silent
addserver	main-drawer-button	navigation	silent
addserver	page-title	silent	silent
addserver	header-sync-button	navigation	silent
addserver	header-audio-player-button	navigation	silent
addserver	header-cast-button	navigation	silent
addserver	header-search-button	navigation	silent
addserver	header-user-button	navigation	silent
addserver	header-tabs	silent	silent
addserver	main-drawer	silent	silent
addserver	nav-menu-option	navigation	silent
addserver	nav-menu-option-icon	navigation	silent
addserver	nav-menu-option-text	navigation	Home
addserver	sidebar-header	stated	HeaderMedia
addserver	sidebar-header	stated	HeaderAdmin
addserver	nav-menu-option-text	navigation	TabDashboard
addserver	nav-menu-option-text	navigation	MetadataManager
addserver	sidebar-header	stated	HeaderUser
addserver	nav-menu-option-text	navigation	SelectServer
addserver	nav-menu-option-text	navigation	Settings
addserver	nav-menu-option-text	navigation	ButtonSignOut
addserver	raised	navigation	silent
branding	skin-header	silent	silent
branding	header-back-button	navigation	silent
branding	header-home-button	navigation	silent
branding	main-drawer-button	navigation	silent
branding	page-title	silent	silent
branding	header-sync-button	navigation	silent
branding	header-audio-player-button	navigation	silent
branding	header-cast-button	navigation	silent
branding	header-search-button	navigation	silent
branding	header-user-button	navigation	silent
branding	header-tabs	silent	silent
branding	main-drawer	silent	silent
branding	nav-menu-option	navigation	silent
branding	nav-menu-option-icon	navigation	silent
branding	nav-menu-option-text	navigation	Home
branding	sidebar-header	stated	HeaderMedia
branding	sidebar-header	stated	HeaderAdmin
branding	nav-menu-option-text	navigation	TabDashboard
branding	nav-menu-option-text	navigation	MetadataManager
branding	sidebar-header	stated	HeaderUser
branding	nav-menu-option-text	navigation	SelectServer
branding	nav-menu-option-text	navigation	Settings
branding	nav-menu-option-text	navigation	ButtonSignOut
details	skin-header	silent	silent
details	header-back-button	navigation	silent
details	header-home-button	navigation	silent
details	main-drawer-button	navigation	silent
details	page-title	silent	silent
details	header-sync-button	navigation	silent
details	header-audio-player-button	navigation	silent
details	header-cast-button	navigation	silent
details	header-search-button	navigation	silent
details	header-user-button	navigation	silent
details	header-tabs	silent	silent
details	main-drawer	silent	silent
details	nav-menu-option	navigation	silent
details	nav-menu-option-icon	navigation	silent
details	nav-menu-option-text	navigation	Home
details	sidebar-header	stated	HeaderMedia
details	sidebar-header	stated	HeaderAdmin
details	nav-menu-option-text	navigation	TabDashboard
details	nav-menu-option-text	navigation	MetadataManager
details	sidebar-header	stated	HeaderUser
details	nav-menu-option-text	navigation	SelectServer
details	nav-menu-option-text	navigation	Settings
details	nav-menu-option-text	navigation	ButtonSignOut
details	emby-button	navigation	silent
details	details-button	navigation	silent
details	emby-linkbutton	navigation	silent
details	vertical-section	silent	silent
details	items-container	silent	silent
details	section-title-cards	silent	silent
details	emby-itemscontainer	silent	silent
details	emby-scroller	silent	silent
forgotpassword	skin-header	silent	silent
forgotpassword	header-back-button	navigation	silent
forgotpassword	header-home-button	navigation	silent
forgotpassword	main-drawer-button	navigation	silent
forgotpassword	page-title	silent	silent
forgotpassword	header-sync-button	navigation	silent
forgotpassword	header-audio-player-button	navigation	silent
forgotpassword	header-cast-button	navigation	silent
forgotpassword	header-search-button	navigation	silent
forgotpassword	header-user-button	navigation	silent
forgotpassword	header-tabs	silent	silent
forgotpassword	main-drawer	silent	silent
forgotpassword	nav-menu-option	navigation	silent
forgotpassword	nav-menu-option-icon	navigation	silent
forgotpassword	nav-menu-option-text	navigation	Home
forgotpassword	sidebar-header	stated	HeaderMedia
forgotpassword	sidebar-header	stated	HeaderAdmin
forgotpassword	nav-menu-option-text	navigation	TabDashboard
forgotpassword	nav-menu-option-text	navigation	MetadataManager
forgotpassword	sidebar-header	stated	HeaderUser
forgotpassword	nav-menu-option-text	navigation	SelectServer
